,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,15.5392045975,15.536529541,15.7702048509,15.8169484312,15.8080708203,15.7623023974,15.4884700202,15.5044462211,15.5112268599,15.5013631244,15.5270470013,15.6033757209,15.4852772663,15.49466407,15.6831046913,15.5039904167
1,15.9314863205,15.9200748444,15.844078633,15.7295218416,15.7274670838,15.7512931561,15.9511208573,15.9397402868,15.9428237959,15.9473928775,15.940262548,15.9734781544,15.927096372,15.9205561544,15.6831046913,15.9303288695
2,15.5391031265,15.5495187759,15.6365412029,15.5900614124,15.5474268385,15.5036859205,15.6364624685,15.5917004186,15.5871037409,15.5868031882,15.53048789,15.5482037079,15.554091419,15.5361196426,15.6831046913,15.5606495876
3,15.5599746704,15.5236692429,15.6998171872,15.7549853394,15.7157354586,15.672412025,15.5620457998,15.6107284984,15.5878242513,15.5904582234,15.5877384282,15.597648279,15.6933380084,15.7350027569,15.6831046913,15.7052010231
4,15.4715299606,15.4794651031,15.5165932874,15.536567242,15.5499710394,15.5572746197,15.4369651306,15.4374255075,15.4385819566,15.4392940535,15.4661995073,15.4620636809,15.4440199927,15.4547227389,15.6831046913,15.4447006078
5,15.9592525482,15.9698984146,16.1009351174,16.1189209915,16.1355955616,16.1033791557,15.89736876,15.9779435001,15.9761283637,15.9832740594,15.9369380332,16.0192858407,15.9897983846,15.9878626139,15.6831046913,15.9089152866
6,15.3381429672,15.3181493759,15.320598106,15.3397169565,15.3434780218,15.3653929227,15.2447603756,15.2905333271,15.2881432989,15.2961511242,15.285277012,15.272413601,15.3601434806,15.3859473586,15.6831046913,15.4192712859
7,15.2478687286,15.2463113785,15.2860052792,15.3148563696,15.3383088013,15.3371289459,15.2216002532,15.2738910423,15.2762411396,15.2769541076,15.2529707105,15.2420164976,15.2494976836,15.2441018411,15.6831046913,15.2397258037
8,15.2907157898,15.3248651505,15.1958056267,15.3149079146,15.3364205983,15.3559785079,15.3453986201,15.2097940454,15.2389833919,15.2640333971,15.3338600882,15.3737881318,15.4904187202,15.4793787838,15.6831046913,15.4603949779
9,15.4029153824,15.4116727829,15.598697067,15.6760398137,15.6659584235,15.6725816828,15.2238639463,15.4097722502,15.4224074567,15.423215242,15.4360433533,15.4763240477,15.3263242776,15.3306913058,15.6831046913,15.3257864328
