id,price_doc
30474,5538135.45957
30475,8267284.882
30476,5419473.52009
30477,5837987.78258
30478,5031285.6443
30479,8249419.7104
30480,4296168.82995
30481,4095777.45951
30482,4410469.47574
30483,4906005.55479
30484,6494764.35847
30485,4741539.44755
30486,3988275.56996
30487,4158585.71648
30488,5426623.74025
30489,5778274.61932
30490,20011708.2243
30491,17014329.3884
30492,5584138.63985
30493,12661721.7621
30494,6983776.47505
30495,10413226.7081
30496,8076235.26988
30497,8089728.58962
30498,4569315.81087
30499,7201033.57487
30500,10737303.7468
30501,6878497.01397
30502,3085431.49174
30503,6604660.25459
30504,5891666.65259
30505,10696816.1052
30506,2864115.72448
30507,4870802.7542
30508,5476613.50344
30509,7254477.43633
30510,9251824.05718
30511,6643225.06486
30512,6155483.77469
30513,4230241.76337
30514,3372519.79029
30515,9094453.91549
30516,5540090.24447
30517,9730674.6979
30518,7524144.47201
30519,4732782.67221
30520,6830399.07936
30521,6076394.28788
30522,6983904.62115
30523,6172130.71795
30524,9498766.63281
30525,10172942.3991
30526,4858568.84994
30527,5129477.87585
30528,6323891.66388
30529,6151124.4297
30530,5873445.11128
30531,13590996.8677
30532,4645746.90572
30533,9291009.67052
30534,6726161.51878
30535,9381592.25417
30536,5453336.35278
30537,11479596.5881
30538,5115052.69838
30539,9691417.77718
30540,9359655.45269
30541,6346013.43027
30542,2071817.52656
30543,5546154.77695
30544,6469876.03005
30545,8354411.97492
30546,3854767.08298
30547,8654149.63085
30548,4521837.66052
30549,5256921.11397
30550,10610876.4848
30551,4877357.85775
30552,2022099.40386
30553,7034254.55
30554,11666971.732
30555,5914871.08199
30556,8929424.13388
30557,7756421.25426
30558,8915241.07582
30559,6003426.86126
30560,5814936.36336
30561,6928247.22128
30562,10434291.0491
30563,4077937.77276
30564,7330436.59165
30565,6903022.81588
30566,6528580.14996
30567,2090828.97511
30568,9129967.93854
30569,9293773.16765
30570,6294496.06886
30571,7857496.95262
30572,4863667.84606
30573,6146315.25619
30574,6020015.69807
30575,7462785.03291
30576,4402590.8578
30577,4246398.05596
30578,2929414.243
30579,7504895.74577
30580,4555301.07785
30581,5361643.19009
30582,10939542.8984
30583,6979982.89042
30584,4356466.72307
30585,3324737.2616
30586,8755040.50879
30587,5579088.83088
30588,8179804.03408
30589,7175129.13288
30590,11677892.218
30591,5256939.07601
30592,6549197.728
30593,7904173.03327
30594,7000780.30298
30595,6033869.28154
30596,6311483.11506
30597,6222484.34843
30598,9513017.57534
30599,10294966.467
30600,5112270.38566
30601,6258059.78979
30602,2042244.91549
30603,12166745.7478
30604,4797634.85444
30605,6405742.01432
30606,15703760.1779
30607,6476614.4667
30608,9171969.25399
30609,5825586.57498
30610,3003646.76341
30611,5477949.0539
30612,7449635.00774
30613,8491885.3917
30614,14922046.3095
30615,7497539.63851
30616,5584651.35664
30617,8118168.48807
30618,4904337.83158
30619,4097640.18302
30620,2691788.2222
30621,8363792.55679
30622,7899121.39653
30623,5833405.84767
30624,6546414.63799
30625,7136857.43413
30626,6004269.9596
30627,7536448.63316
30628,6326659.8505
30629,5217836.43154
30630,4292672.3241
30631,6051721.54367
30632,4177067.24358
30633,5680895.29335
30634,10532533.7144
30635,9567545.55293
30636,5267498.20555
30637,8890031.65096
30638,6168838.77158
30639,8004794.71414
30640,4454318.35852
30641,7532562.82265
30642,6255857.37892
30643,7752950.51563
30644,9592646.65146
30645,6835455.52206
30646,4881818.2544
30647,4546344.09976
30648,16622326.8115
30649,2591194.76366
30650,4873512.27643
30651,2945106.28861
30652,4407818.58336
30653,7161057.98796
30654,4369895.81875
30655,11920517.6819
30656,3728542.60776
30657,5969336.30449
30658,8975030.96822
30659,4912969.84008
30660,7994834.41374
30661,6469431.41116
30662,8380713.77678
30663,14289045.1824
30664,11050309.2324
30665,5907430.94741
30666,2719116.56768
30667,4150406.55738
30668,8448423.8254
30669,4697844.485
30670,2368781.01225
30671,5923174.40353
30672,13883814.5827
30673,10362168.8487
30674,10500511.8322
30675,2079225.62711
30676,6589251.44954
30677,4434772.12538
30678,19435623.495
30679,5566852.966
30680,4789523.51551
30681,2197611.52614
30682,8392997.39437
30683,9734325.98814
30684,5532186.80286
30685,7008876.32047
30686,8603501.27896
30687,5080223.58814
30688,4410515.38681
30689,12952405.5406
30690,16873093.7975
30691,4586859.47525
30692,5927317.21844
30693,10506321.6337
30694,5808385.21629
30695,6337745.17584
30696,6793459.75163
30697,11074619.7262
30698,7789134.55696
30699,5718270.26613
30700,4900974.64769
30701,9592646.65146
30702,6368010.11904
30703,3783250.35837
30704,10975320.0416
30705,8151053.51068
30706,21623756.4759
30707,3562883.66112
30708,13884327.7871
30709,6284216.00733
30710,7337744.83967
30711,4525426.51109
30712,3925609.57801
30713,5742828.06267
30714,6537719.01766
30715,3463668.27102
30716,9690260.75745
30717,6255371.92529
30718,8137561.83716
30719,13515969.3802
30720,7007909.00233
30721,4831129.9179
30722,7068143.55906
30723,5992547.71872
30724,11413732.8998
30725,5925864.03364
30726,11452375.3636
30727,9184898.77015
30728,10852852.2469
30729,3397079.9353
30730,6070439.40847
30731,6143108.10003
30732,4901736.69645
30733,9832807.76957
30734,6937113.44807
30735,5367765.25411
30736,5300155.13886
30737,6456494.31206
30738,5891966.82297
30739,3802973.60594
30740,6867927.24028
30741,9855840.30082
30742,4182666.92084
30743,5002372.82172
30744,9204037.96376
30745,6727610.56405
30746,5373810.2801
30747,15723172.7208
30748,15765141.4347
30749,4592486.38005
30750,6702015.49631
30751,3479109.44421
30752,7861912.12886
30753,9731906.78792
30754,5732972.32847
30755,3817437.841
30756,6548380.10931
30757,5308171.07239
30758,9005223.62673
30759,6008923.13701
30760,3574725.04474
30761,8761225.16809
30762,6264686.15404
30763,11267292.2643
30764,6094085.83426
30765,5706460.1495
30766,3601430.69487
30767,9194018.89177
30768,4614900.76268
30769,7046645.263
30770,5898240.81191
30771,2865061.59946
30772,7821768.23208
30773,7719262.34112
30774,5374335.04178
30775,12216185.3514
30776,6049264.44845
30777,5986679.29394
30778,8955170.29807
30779,6252651.0352
30780,7505554.21011
30781,6743453.29884
30782,5050150.60214
30783,4991959.5769
30784,3552403.29517
30785,5312771.05157
30786,4306700.58738
30787,5753012.19497
30788,5373313.18228
30789,7107185.84995
30790,6565603.31702
30791,9379956.30447
30792,7038655.0676
30793,10895779.8136
30794,11570090.2814
30795,10363629.5826
30796,10044739.8049
30797,14315475.749
30798,2684406.81921
30799,9467871.46621
30800,12024025.7631
30801,6076063.98986
30802,18868379.3799
30803,3329056.74623
30804,3768876.81898
30805,13916038.9845
30806,6947840.19676
30807,5572157.82669
30808,10205673.2587
30809,4696341.84932
30810,11108036.6801
30811,4169125.00593
30812,5415875.40182
30813,4891912.9054
30814,2507177.62982
30815,4112245.88176
30816,7838044.04946
