id,price_doc
30474,5303384.00794
30475,8153808.64864
30476,5740119.20518
30477,5757579.87035
30478,4907635.49971
30479,8314597.41051
30480,4295508.24399
30481,4158781.88121
30482,4048812.86442
30483,4735040.81846
30484,6302403.20692
30485,4908414.11156
30486,4058742.89313
30487,4235645.02951
30488,6305280.41095
30489,5772313.00001
30490,21118034.2787
30491,14967408.9245
30492,5630628.15672
30493,10456597.828
30494,7129538.58338
30495,9678172.24734
30496,8129460.04331
30497,8161460.96554
30498,4696454.03112
30499,4714223.34019
30500,10685757.0838
30501,6281779.19353
30502,3121480.09345
30503,5824808.31063
30504,5786764.59205
30505,10925219.9929
30506,2907857.18623
30507,4881448.38636
30508,5815193.82435
30509,7011156.87036
30510,8928788.89693
30511,6253825.64411
30512,6107223.32464
30513,4260879.99543
30514,3228542.15951
30515,8932254.18606
30516,5397947.57291
30517,8862674.32344
30518,6136389.15945
30519,4946439.54989
30520,6336844.98077
30521,5650490.26172
30522,7257428.1389
30523,6144422.77374
30524,8414219.53475
30525,10361846.2838
30526,4870867.53413
30527,5203558.0504
30528,5821910.84985
30529,6022976.00061
30530,5759147.34947
30531,11668175.5401
30532,4655055.53219
30533,8907870.32293
30534,6503158.66197
30535,9062712.55162
30536,5584317.41334
30537,10732655.1688
30538,5217721.68429
30539,9622055.97272
30540,9115503.29101
30541,6512838.37907
30542,2081044.80353
30543,5502252.18693
30544,6742950.96909
30545,7986867.64378
30546,4046602.40231
30547,8739790.5407
30548,4551896.32701
30549,5059239.59593
30550,9984685.67663
30551,5024495.60882
30552,1984080.33582
30553,6986527.8236
30554,10718164.202
30555,6093884.35139
30556,8885738.08831
30557,8148028.13629
30558,8098088.94589
30559,6555874.79815
30560,5719888.99373
30561,6630541.97474
30562,10928039.4488
30563,4142131.08178
30564,6456287.6375
30565,6843352.60145
30566,6832016.11442
30567,2093186.10942
30568,9225033.32787
30569,8140019.21656
30570,5971137.13365
30571,7231696.52758
30572,4879952.86744
30573,5947401.08137
30574,6738776.04422
30575,6835979.20234
30576,3307118.8443
30577,5052943.01841
30578,2886451.507
30579,6928595.23409
30580,5383636.62853
30581,5066220.74125
30582,10905523.8447
30583,6975145.33885
30584,4595055.17035
30585,3584063.56566
30586,8832726.67052
30587,5726146.99568
30588,6991088.47384
30589,7044077.78031
30590,11057247.2592
30591,5213583.99502
30592,6660136.53049
30593,7954319.19069
30594,6245813.77043
30595,5371143.27688
30596,6271587.20517
30597,5952540.22264
30598,9116554.00641
30599,10486832.5986
30600,5041886.36979
30601,5860456.06851
30602,1911800.28885
30603,11423192.9843
30604,4829488.85779
30605,6073643.41947
30606,13360820.6089
30607,6516327.98106
30608,8446336.06211
30609,5776335.3864
30610,3066294.74511
30611,5831672.01752
30612,7196143.44691
30613,8452358.74823
30614,15853936.9025
30615,7276869.49849
30616,5885022.96091
30617,7827570.01222
30618,4853741.03925
30619,4180512.62949
30620,2623776.33488
30621,8893042.71923
30622,8027389.74461
30623,5955928.18125
30624,6187518.58763
30625,7185957.13864
30626,6287242.6499
30627,7626910.42038
30628,5955613.21174
30629,5338116.66163
30630,4528025.95385
30631,6191484.57928
30632,4291175.98125
30633,5601862.33881
30634,10608093.4905
30635,9125400.61336
30636,5432067.74854
30637,8828950.02386
30638,5873624.65904
30639,7603019.16053
30640,4559212.30619
30641,7183680.62537
30642,5814959.94825
30643,7652044.88455
30644,9104859.60786
30645,7076644.74604
30646,5114843.70974
30647,4606880.58947
30648,16891631.2727
30649,2696536.78932
30650,4938787.42729
30651,2909217.38277
30652,4421350.86485
30653,6917680.40586
30654,4587819.69709
30655,12187928.4632
30656,3766336.53937
30657,6153728.80272
30658,8550088.42191
30659,5167563.99991
30660,7529567.17208
30661,6180152.05219
30662,8074304.35639
30663,13420144.6619
30664,11013095.7661
30665,5771160.32535
30666,2613105.52816
30667,4181452.92384
30668,8572201.31458
30669,4911965.23091
30670,2453205.16645
30671,6522845.95221
30672,12237972.547
30673,10140019.6487
30674,10551867.0003
30675,2051930.73114
30676,7261722.63203
30677,4736293.66716
30678,17216478.7388
30679,5900752.31945
30680,5529876.48599
30681,2174760.2444
30682,7788642.96699
30683,9031184.54291
30684,5464273.60508
30685,7362591.28174
30686,8788300.97574
30687,4893720.10783
30688,4679995.13912
30689,13498928.4069
30690,16813856.3821
30691,4958461.61435
30692,5840869.91113
30693,11861036.4478
30694,5807097.55061
30695,6553910.76389
30696,6649389.21795
30697,9746215.71435
30698,7387086.84432
30699,5513154.16574
30700,4878867.03141
30701,9104859.60786
30702,6130121.25484
30703,3720454.18125
30704,10860893.2247
30705,7974177.58672
30706,19093758.4226
30707,3631309.46702
30708,12110997.5728
30709,5867040.68942
30710,7350828.43289
30711,4607799.19472
30712,4037607.73347
30713,5879311.11864
30714,6354865.81896
30715,3399882.6048
30716,9057287.62845
30717,6169096.55984
30718,10028630.7874
30719,12380855.0025
30720,6719221.4415
30721,3583282.84911
30722,7350559.03562
30723,5811041.31828
30724,10814495.7416
30725,5851331.25033
30726,10847806.4169
30727,8986855.05224
30728,10813941.0939
30729,3560612.33756
30730,5778169.36469
30731,6138277.648
30732,5375207.24109
30733,9083449.1726
30734,6304798.00425
30735,5373667.43026
30736,5073977.95454
30737,5908331.30176
30738,5718505.39362
30739,4516286.09726
30740,6837299.46562
30741,9843947.54011
30742,4183497.735
30743,4865656.76784
30744,8919275.90704
30745,7424773.6775
30746,5373667.43026
30747,15454870.1254
30748,15268211.727
30749,5472792.47289
30750,6445963.20602
30751,2989363.20805
30752,7147330.74519
30753,9604283.08611
30754,5749808.35796
30755,3769540.17628
30756,6336249.532
30757,5589965.02791
30758,9593020.74174
30759,5881144.06111
30760,3545627.90736
30761,8538262.2589
30762,6214581.68753
30763,10958095.4102
30764,5811125.15291
30765,5394939.90956
30766,3523830.61921
30767,8529568.07198
30768,4900314.99659
30769,7046612.81769
30770,5771160.32535
30771,3097482.30732
30772,7483202.75765
30773,7317597.36697
30774,5500763.69759
30775,9863201.24427
30776,5613635.11696
30777,5817379.23996
30778,8697678.72854
30779,5843883.79182
30780,7268342.29058
30781,6318822.71711
30782,5165988.66372
30783,5119355.16353
30784,3634357.42188
30785,5441761.84277
30786,4297707.96832
30787,5919993.3488
30788,5458618.28385
30789,7085139.41557
30790,6145330.70478
30791,8757275.0249
30792,6383002.82386
30793,9743787.80682
30794,12667968.4869
30795,8849677.65855
30796,11365757.4264
30797,13465802.0786
30798,2753895.64683
30799,9646659.17533
30800,13425487.4325
30801,6118638.90569
30802,14818811.1249
30803,3615274.87299
30804,4045459.67285
30805,12370774.7072
30806,6306310.96165
30807,6042791.92048
30808,9677989.55883
30809,4682820.39358
30810,11046213.8488
30811,4150517.26396
30812,5432071.65887
30813,5379730.33916
30814,2533199.00022
30815,4156320.96028
30816,8114173.43978
30817,1916633.65633
30818,7328072.75462
30819,7765603.31467
30820,5310320.31146
30821,16299081.0087
30822,7611226.55357
30823,6327902.52478
30824,3801600.45195
30825,4937112.4682
30826,9029491.65547
30827,5404595.34033
30828,5621321.81586
30829,5861123.44353
30830,8703440.83916
30831,5615643.0534
30832,5496381.49394
30833,5612202.37364
30834,4063063.16664
30835,7736015.23227
30836,6013329.57595
30837,5468701.09674
30838,4710142.16635
30839,5619967.17026
30840,10689435.4386
30841,9422141.73955
30842,6247610.61868
30843,5104735.09616
30844,6023556.38927
30845,8444007.51366
30846,4276575.27143
30847,5511400.15247
30848,8237674.17089
30849,4343485.24406
30850,3965389.12082
30851,4450418.8075
30852,6911037.17393
30853,3663146.99766
30854,5349835.03355
30855,6996962.82002
30856,7829035.59733
30857,2187657.95096
30858,4294082.61455
30859,5671159.05299
30860,5597774.457
30861,8034774.09393
30862,6315739.93387
30863,4696815.01118
30864,6028618.09479
30865,8737954.05879
30866,6749392.21842
30867,5274565.48166
30868,7965917.65453
30869,5634184.77147
30870,3502123.86523
30871,7788696.71303
30872,4332032.65037
30873,3940472.01227
30874,5044323.61332
30875,5840547.84495
30876,4886786.3527
30877,8944197.42539
30878,5217990.23958
30879,9496682.44531
30880,6118638.90569
30881,1921378.3565
30882,8637563.92013
30883,3311460.3187
30884,5217990.23958
30885,4850495.79426
30886,7111153.46075
30887,5625448.1177
30888,4037741.3156
30889,5175467.55878
30890,6808435.472
30891,3502044.81086
30892,3524796.42066
30893,4265634.12329
30894,5639015.38104
30895,4020202.60113
30896,6082254.93879
30897,7466167.18175
30898,6365179.0857
30899,6130308.16033
30900,3831102.89354
30901,5828100.94901
30902,2078126.92402
30903,6385083.68673
30904,7534026.96136
30905,5217990.23958
30906,4940478.73936
30907,10996819.5389
30908,4289961.25369
30909,11551155.852
30910,6955402.99096
30911,4508828.8611
30912,6181050.60392
30913,13369626.0142
30914,5914951.27949
30915,8276807.57196
30916,5123120.41536
30917,7742111.63489
30918,6218398.20982
30919,3750062.0871
30920,4957497.24668
30921,3889669.80085
30922,5710123.29169
30923,3788200.21857
30924,5388220.40812
30925,12874404.5238
30926,6441522.69161
30927,7473185.86445
30928,5049209.47124
30929,5429628.25937
30930,10655779.2719
30931,10336512.3556
30932,4890292.5308
30933,5153192.42072
30934,12126572.0661
30935,6342193.75419
30936,6309598.94287
30937,8760233.21862
30938,4167398.04079
30939,8596738.92128
30940,6448341.26467
30941,6080227.82754
30942,3988753.80087
30943,6389490.66141
30944,4606293.27297
30945,2796849.53958
30946,11729923.6566
30947,6239053.95369
30948,7256710.46993
30949,6244371.79917
30950,6097041.42069
30951,13554341.0785
30952,7041201.1805
30953,8430109.70296
30954,4624072.9019
30955,6146560.15282
30956,6388943.11553
30957,5500162.98109
30958,21253631.6299
30959,7622276.04192
30960,7380609.55706
30961,7101888.91374
30962,10610094.4589
30963,3962606.48362
30964,4375356.57823
30965,6771113.32332
30966,11075499.8835
30967,11251408.8846
30968,3339493.57195
30969,3771257.68354
30970,5997129.07888
30971,9099215.2623
30972,3772838.05855
30973,4496111.75929
30974,4841980.32267
30975,7300432.67972
30976,4806561.65421
30977,6375136.23316
30978,7433833.72115
30979,3744551.10693
30980,6707833.72021
30981,5758497.51568
30982,7038885.56505
30983,3983947.86741
30984,5217990.23958
30985,3819953.8775
30986,9066791.12769
30987,7714689.43418
30988,5723083.53232
30989,7270907.26907
30990,11573018.7667
30991,7955284.63984
30992,2806153.34078
30993,7034495.0812
30994,5225439.83748
30995,6407674.93111
30996,5365773.25897
30997,6899799.87938
30998,6478719.99945
30999,4792654.1465
31000,7483561.8027
31001,6064487.46842
31002,8965996.3829
31003,8272856.55701
31004,4317439.65792
31005,3138305.82828
31006,6666304.98193
31007,5303721.90465
31008,4787102.34565
31009,5974751.50329
31010,6263980.66888
31011,3953829.40144
31012,5633594.14762
31013,6690352.866
31014,10293859.2942
31015,7735258.61658
31016,3926705.14698
31017,8960940.16156
31018,5427081.54074
31019,4314653.71849
31020,6517213.89923
31021,11319977.1385
31022,18897317.1856
31023,9112705.5345
31024,4865410.6541
31025,5835225.25223
31026,6135672.86342
31027,4490505.39212
31028,5604021.63304
31029,8558752.01888
31030,6262134.01983
31031,8712896.71724
31032,8991307.86215
